token_name	vapor_type	vapor_rarity	author	mediaType	name	src	image	name	title	url	total_supply
vtoken_0001	TEST_1	Common	H.Y.P.E.	video/mp4,video/webm	HYPEVAPOR RADIATION COMMON	ipfs://QmVXCcbPp8GCSqRzmkvp5x3taY1Xuz9KVTXqmpiReZSQ5b,ipfs://QmUFvJeuVGYMv7faCg1jDdgevn9Fi4VfkZdRqZvXtKgHni	ipfs://QmZfnhECkZd29ampX7rykRHMzmq8yxHeynPz84mDdaEn4i	HYPEVAPOR RADIATION COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	100
vtoken_0002	TEST_2	Elite	H.Y.P.E.	video/mp4,video/webm	HYPEVAPOR RADIATION ELITE	ipfs://QmemXvEEuzggpBU89Dbmn2oeowAG2gFQ6ZknZG7j5WzPv8,ipfs://QmUvYrsm1syY3YJtHW7dhQ9foCFs1jMMX4TDCCjgPeeura	ipfs://QmduWzMqeYtCtEckJ8Kwr1MvD49TUeLdLBPtAHLMW4MykB	HYPEVAPOR RADIATION ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	50
