token_name	vapor_type	vapor_rarity	author	mediaType	name	src	image	name	title	url	total_supply
HYPESKULLS_VT_N_E	Nitro	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR NITRO EPIC	ipfs://QmbHALiU6H8NnSvH83KhLAMuXLdDmM2xFGbWNYqDBLKCSH,ipfs://QmYWa9HPoTvUZHW6u6wKXkbYgQxUx8H36uGq9naGRnsyUL	ipfs://QmYERsbRqaosgjPbtSdx2LNpD9nxjig5sazY4fhUFfXKVh	HYPESKULLS VAPOR NITRO EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	96
HYPESKULLS_VT_V_C	Venom	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR VENOM COMMON	ipfs://QmdqCZCK31149nmm8Mp7tVM2nx8dTF9wV5XpHCQeroCe3V,ipfs://QmeCn2xy2t5JTYBEpZR9AzFExYp3sf4Dc5M3zw25jadJQ8	ipfs://QmaiicBN3TGQ65jM9HkNiPGYQMBapNTd6hAUwcCDnR4Vyw	HYPESKULLS VAPOR VENOM COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	178
HYPESKULLS_VT_V_EE	Venom	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR VENOM ELITE	ipfs://Qmbh9sUYGtQhLj5pzsFu65b6H2GevBQ5vDcLynX5NP75Fk,ipfs://QmfK7V4PJKVF5yeCkGnv1z1dbziCXKVbeEJEek2MwTZbZN	ipfs://QmZ7PFzhqqnq7Ut5p7XQRhBWrpckFKQteLRUUxZqXCBbpp	HYPESKULLS VAPOR VENOM ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	44
HYPESKULLS_VT_V_E	Venom	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR VENOM EPIC	ipfs://Qmdz6KNry1AskQXSscjN2G64KuDzwjLFRo1A6Pcre16YYc,ipfs://QmPaHDNY7pfecfwps9sSwkXT9Lo6eno6yKhzmY8dtZioED	ipfs://QmY73A6oMrASgkR8hFYnBSWWc8jbZEAwLyNK688GwuhwHV	HYPESKULLS VAPOR VENOM EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	89
HYPESKULLS_VT_K_C	Kerosene	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR KEROSENE COMMON	ipfs://QmWc3AWwYRE23zvfNEFTRA5t2x5EmNb8AxnD9sHnAD8LEN,ipfs://QmTC9BnLstWqrc2yYJLq2v1JPgMtq1UDEudU3u4Rxb6Ei1	ipfs://Qmb4U6aaV4xtE6nPPpvhmP11zxKWJyAftR65fDxXUs2aoB	HYPESKULLS VAPOR KEROSENE COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	160
HYPESKULLS_VT_K_EE	Kerosene	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR KEROSENE ELITE	ipfs://Qmdrx32KnTmeH3FJzpMC4ti2hyRarg3AJtmFB6kGgSsapK,ipfs://QmPPPT4Co4G6ejoCP967YosCsmRtt8StVgRudc5adfqN5c	ipfs://QmU5Q9U5298ipgpY6pMzZx2shzVdSUrSBEDF9C6p3SfD9z	HYPESKULLS VAPOR KEROSENE ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	39
HYPESKULLS_VT_K_E	Kerosene	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR KEROSENE EPIC	ipfs://QmUN8Kz2UK8LJ2nQoP1m86Yx2Wni1CtszPBcKb6e895fKo,ipfs://QmZLHDiqxpRerz58uHBC2LPHQTtns8TxsENUwTvqB6dWjD	ipfs://QmPFg6J42KPQ7am1Nde6ovdYeA2gmoo1Zc7tcdDgj1FkoN	HYPESKULLS VAPOR KEROSENE EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	82
HYPESKULLS_VT_P_C	Psilocybin	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR PSILOCYBIN COMMON	ipfs://QmUeQYfJs7v22rnykbzMS4zwhyfLbnKGQW1QNZQyJMMz5u,ipfs://QmQ2KVmT56Jcfqtz6dU9fW4Pan9wid5SkTq9WCFg3mmTtL	ipfs://QmS4UpFhAsow7XMDGUfiDuSCxuyJh3GiTWzdNyNbdUEK3g	HYPESKULLS VAPOR PSILOCYBIN COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	147
HYPESKULLS_VT_P_EE	Psilocybin	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR PSILOCYBIN ELITE	ipfs://QmfMMmDA1VxRbLqNVixYTW3VTMcF5XG5VvEBpUsKySKXZG,ipfs://QmXThv3nTp1weZTRpLfEZYue5v3zPtFVrLqRkkJEPxKg5d	ipfs://QmQrgsVScN19mmHnku8fKJsr6thRy1mjPxQbSeUdt7KiXh	HYPESKULLS VAPOR PSILOCYBIN ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	35
HYPESKULLS_VT_P_E	Psilocybin	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR PSILOCYBIN EPIC	ipfs://QmQ5e7MuaYsfdUQFy1wMdJRmzXLQ2pzCfjePKLwBYVUgKJ,ipfs://QmQ56Q4g6Jf6qgFfGCvxC2Mh9pwb4QUHu5MotEE16GXzaj	ipfs://QmP3UVH1JJXSM2g8mSgA39acR43pW2txGNEMjKvgdefgDd	HYPESKULLS VAPOR PSILOCYBIN EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	74
HYPESKULLS_VT_AC_C	Anarchy	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR ANARCHY COMMON	ipfs://QmXZvVJCBK3XqSmAMpkwfaLRkoNj2QGpcJcDPURfzr9RZZ,ipfs://QmPWZ8x7TZfCFmTQnd65vyX8jEXUQCTMbUiQZmzDXsEwsA	ipfs://QmZZMSdrdtAHjdjDGaXLJbt3nqqUUDjH5gqhBJTdRDT183	HYPESKULLS VAPOR ANARCHY COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	130
HYPESKULLS_VT_AC_EE	Anarchy	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR ANARCHY ELITE	ipfs://QmXPb2qBihJW75r4vuRwvEFAU2h2jEwH6NQUdAPsRnK2os,ipfs://QmPDYT5KxaAUWR9Cxo1A2y6vUwyQyRSxmbFYSH3r4TQ7YT	ipfs://QmPk4wmWRVBEBURAsbBiVe7UV7zavEgrDnt4MwQuXJnTpA	HYPESKULLS VAPOR ANARCHY ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	30
HYPESKULLS_VT_AC_E	Anarchy	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR ANARCHY EPIC	ipfs://QmRR7wGa97isyucoYLxDWTo47yoi77kVjkvB17zrouRpfn,ipfs://QmZ5PizoouY9iTE8AoRv738mm5HsxaYgiScSDfPe8V7Uc9	ipfs://QmfVN1sZGbWx7byC7xTPdyoRep7LV1AjG4NRxDqk9HVGmF	HYPESKULLS VAPOR ANARCHY EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	67
HYPESKULLS_VT_Z_C	Z-Virus	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR Z-VIRUS COMMON	ipfs://QmXomu47SRwTbaPzF5qpyazj13NkoeC8a5HXRRfNzSoBUs,ipfs://QmPUqU51HT5ciAAZ9LCxKJ2motk9y6aozv53aczb4CmKVS	ipfs://QmPweif24Sgx6aB3A3sqp8BmmNjcaXU5m427pCmgEAn5Lk	HYPESKULLS VAPOR Z-VIRUS COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	111
HYPESKULLS_VT_Z_EE	Z-Virus	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR Z-VIRUS ELITE	ipfs://QmaCTC94n3XzAjKPK2qR73fk4ThTuxtFqxh5ZC12FPiZfH,ipfs://QmeD7yAj73gLGkRuqdtCogJn7YL6QE8GEpg1wNhPyXkS6g	ipfs://QmTu9a6FiaUfngV9CJ76PUeKtoD14DRmAcuzmDciM82RSX	HYPESKULLS VAPOR Z-VIRUS ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	24
HYPESKULLS_VT_Z_E	Z-Virus	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR Z-VIRUS EPIC	ipfs://Qmc7vEdnkd8BUPPUhGEC9TPScSej4eaFSnadFbkUPVGqM7,ipfs://Qmd7avGKT8yf9j95nxtxyHZz6nuDnSvNu1wVFjAgqieuid	ipfs://Qmd6CRxEdsFgic5frBHDRasiM6qWh3Bys7xj3d5i9RPijR	HYPESKULLS VAPOR Z-VIRUS EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	59
HYPESKULLS_VT_M_C	Mecha	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR MECHA COMMON	ipfs://QmWDK7XaXU4BXgwChQEcP7Uo2KErsSbif6R7S4tv7w4ZmW,ipfs://QmYnQ7ad31Yo7WcBF8nLDyzNNp9jRFmivBqNDDJe9zhDjq	ipfs://QmYhwR55qH88ywDAWZKZWztjXf3su1ipzhPX6LW4NKoT6N	HYPESKULLS VAPOR MECHA COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	90
HYPESKULLS_VT_M_EE	Mecha	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR MECHA ELITE	ipfs://QmSjjH349CrKtcKNyamvHNzMfZNrgkSBrVwS4gAV9haKJZ,ipfs://QmcrHgfh9Mvs5VrY6yDE5cWjLy9SgmhC6E4rrPaWQJcVDD	ipfs://QmUz8bfRRucHMqBqCtioN7yJ5MoPQ4yzr3rPUEgPikjNFh	HYPESKULLS VAPOR MECHA ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	19
HYPESKULLS_VT_M_E	Mecha	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR MECHA EPIC	ipfs://QmfFYVyzt5tvFQnDY3KTCi8ETuN8qsFy5pKU3oG4KVXAxE,ipfs://QmQZitYgDdaBoXuUU9YnjUhRMWp9RCRxxdL9vwMqDcXVsr	ipfs://QmVcwj4WEJJtonyn9DQfyTJnepoHQJfb3wTGKUsGyb5XjZ	HYPESKULLS VAPOR MECHA EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	52
